second,count,mean,min,max,sd,fieldname
1,0,,,,,intronote
2,1,1,1,1,0,consent
3,1,0,0,0,0,consent
4,1,1,1,1,0,consent
5,1,1,1,1,0,consent
6,1,0,0,0,0,consent
7,1,1,1,1,0,consent
8,1,1,1,1,0,consent
9,1,1,1,1,0,consent
10,1,0,0,0,0,consent
11,1,1,1,1,0,consent
12,1,1,1,1,0,consent
13,1,1,1,1,0,consent
14,1,1,1,1,0,consent
15,1,1,1,1,0,consent
16,1,1,1,1,0,consent
17,1,1,1,1,0,consent
18,1,1,1,1,0,consent
19,1,1,1,1,0,consent
20,1,1,1,1,0,consent
21,1,1,1,1,0,consent
22,1,1,1,1,0,consent
23,1,1,1,1,0,consent
24,1,1,1,1,0,consent
25,1,1,1,1,0,consent
26,1,1,1,1,0,consent
27,1,1,1,1,0,consent
28,1,1,1,1,0,consent
29,1,0,0,0,0,consent
30,1,1,1,1,0,consent
31,1,1,1,1,0,consent
32,1,1,1,1,0,consent
33,1,1,1,1,0,consent
34,1,1,1,1,0,consent
35,1,1,1,1,0,consent
36,1,1,1,1,0,consent
37,1,1,1,1,0,consent
38,1,1,1,1,0,consent
39,1,1,1,1,0,consent
40,1,1,1,1,0,consent
41,1,1,1,1,0,consent
42,1,0,0,0,0,consent
43,1,1,1,1,0,consent
44,1,0,0,0,0,consent
45,1,1,1,1,0,consent
46,1,1,1,1,0,consent
47,1,1,1,1,0,
48,1,1,1,1,0,
49,1,1,1,1,0,
