second,count,mean,min,max,sd,fieldname
1,0,,,,,
2,1,1,1,1,0,
3,1,1,1,1,0,
4,1,0,0,0,0,intronote
5,1,1,1,1,0,intronote
6,1,1,1,1,0,intronote
7,1,0,0,0,0,intronote
8,1,1,1,1,0,intronote
9,1,1,1,1,0,intronote
10,1,1,1,1,0,intronote
11,1,1,1,1,0,intronote
12,1,1,1,1,0,intronote
13,1,1,1,1,0,intronote
14,1,1,1,1,0,intronote
15,1,1,1,1,0,intronote
16,1,1,1,1,0,intronote
17,1,1,1,1,0,intronote
18,1,0,0,0,0,intronote
19,1,1,1,1,0,intronote
20,1,1,1,1,0,intronote
21,1,1,1,1,0,intronote
22,1,0,0,0,0,intronote
23,1,1,1,1,0,intronote
24,1,0,0,0,0,intronote
25,1,0,0,0,0,consent
26,1,0,0,0,0,consent
27,1,0,0,0,0,consented[1]/name
28,1,1,1,1,0,consented[1]/name
29,1,0,0,0,0,consented[1]/name
30,1,1,1,1,0,consented[1]/name
31,1,1,1,1,0,consented[1]/name
32,1,1,1,1,0,consented[1]/name
33,1,1,1,1,0,consented[1]/name
34,1,1,1,1,0,consented[1]/age
35,1,1,1,1,0,consented[1]/age
36,1,0,0,0,0,consented[1]/age
37,1,1,1,1,0,consented[1]/age
38,1,0,0,0,0,consented[1]/age
39,1,1,1,1,0,consented[1]/age
40,1,0,0,0,0,consented[1]/age
41,1,0,0,0,0,consented[1]/age
42,1,1,1,1,0,consented[1]/confirmnote
43,1,0,0,0,0,
