second,count,mean,min,max,sd,fieldname
1,0,,,,,
2,1,25,25,25,0,
3,12,24,23,25,0.7385,
4,13,17.3846,11,22,4.2728,intronote
5,13,14.6154,11,16,1.3868,intronote
6,15,19.2667,18,21,1.1629,intronote
7,12,17.3333,15,20,1.7233,consent
8,14,22.4286,20,24,1.3425,consent
9,14,19.4286,16,22,1.7415,consent
10,15,27.2667,16,46,10.464,consent
11,16,48.0625,40,63,6.7277,consent
12,14,68.5,63,71,3.0319,consent
13,10,70,70,70,0,consent
14,12,70.25,70,71,0.4523,consent
15,12,70.8333,70,72,0.9374,consent
16,12,67.8333,67,71,1.1146,consent
17,13,71.4615,68,74,2.2955,consent
18,13,69.4615,67,74,2.6651,consent
19,13,69.9231,68,72,1.4412,consent
20,12,70.75,68,72,1.3568,consent
21,16,69.625,68,71,1.0247,consent
22,12,70.5,70,72,0.9045,consent
23,15,70.9333,69,72,1.0328,consent
24,14,69.1429,67,72,1.4064,consent
25,15,70.5333,69,72,1.0601,consent
26,13,70.1538,68,72,1.4632,consent
27,13,68.4615,67,71,1.5064,consent
28,14,71.9286,70,74,1.4917,consent
29,11,67.6364,67,70,0.9244,consented[1]/name
30,13,71.3077,71,72,0.4804,consented[1]/name
31,14,69.6429,68,71,1.0818,consented[1]/name
32,14,69.7143,68,72,1.2666,consented[1]/name
33,15,65.4667,48,72,9.2263,consented[1]/name
34,15,80.1333,31,104,25.8038,consented[1]/name
35,14,19.1429,8,42,14.0321,consented[1]/name
36,14,8.6429,7,10,1.1507,consented[1]/name
37,14,8.7143,7,10,1.2666,consented[1]/name
38,13,10,8,13,1.5275,consented[1]/name
39,12,9.25,9,10,0.4523,consented[1]/name
40,12,9.9167,9,11,0.9003,consented[1]/name
41,16,27,19,32,4.6043,consented[1]/name
42,14,20.8571,9,30,9.0711,consented[1]/name
43,16,27.9375,18,34,4.7954,consented[1]/age
44,15,17.6,11,26,5.5006,consented[1]/age
45,15,20.6667,19,22,1.0465,consented[1]/age
46,14,22.0714,20,24,1.6854,consented[1]/age
47,14,20.9286,15,25,3.0246,consented[1]/age
48,16,23.0625,15,27,3.803,consented[1]/age
49,14,26.4286,22,28,2.0273,consented[1]/age
50,14,27.1429,26,28,0.7703,consented[1]/age
51,13,25.1538,23,27,1.6756,consented[1]/age
52,14,23.7857,17,28,4.264,consented[1]/age
53,14,26.7857,22,30,3.7247,consented[1]/age
54,13,28.9231,27,31,1.7059,consented[1]/age
55,14,26,15,31,5.6975,consented[1]/age
56,13,29.1538,28,30,0.8006,consented[1]/age
57,11,29.7273,29,30,0.4671,consented[1]/age
58,10,29,29,29,0,consented[1]/age
59,14,27.8571,26,29,1.2924,consented[1]/age
60,11,29.8182,28,30,0.603,consented[1]/age
61,11,29.4545,28,30,0.6876,consented[1]/age
62,14,28.2857,27,30,0.9945,consented[1]/age
63,12,31.4167,30,32,0.6686,consented[1]/age
64,14,30.4286,30,31,0.5136,consented[1]/age
65,13,32.0769,31,33,0.6405,consented[1]/age
66,13,31,30,32,0.7071,consented[1]/age
67,14,32.0714,31,33,0.9169,consented[1]/age
68,11,31.2727,31,32,0.4671,consented[1]/age
69,10,32,32,32,0,consented[1]/age
70,11,31.6364,30,32,0.809,consented[1]/age
71,14,26.9286,23,32,3.1977,consented[1]/age
72,14,36.5714,32,38,1.4525,consented[1]/confirmnote
73,13,35.0769,34,36,0.8623,consented[1]/confirmnote
74,14,33.2143,31,35,1.2514,
