second,count,mean,min,max,sd,fieldname
1,0,,,,,
2,1,0.0463,0.0463,0.0463,0,
3,25,0.1482,0.049,0.4375,0.1077,
4,26,0.3925,0.1512,1.2905,0.3072,intronote
5,26,0.1831,0.0801,0.4649,0.1056,intronote
6,27,0.1362,0.0256,0.3025,0.0713,intronote
7,26,0.3843,0.0837,1.028,0.2961,consent
8,26,0.4826,0.1077,1.1486,0.3306,consent
9,27,0.2787,0.0247,0.6806,0.1872,consent
10,27,0.9555,0.0575,2.9849,0.9159,consent
11,26,1.5137,0.1608,2.7063,0.7688,consent
12,27,0.4491,0.0696,2.9796,0.6351,consent
13,26,0.071,0.0319,0.1691,0.0385,consent
14,27,0.0402,0.0085,0.0647,0.0169,consent
15,27,0.0282,0.0065,0.0462,0.0095,consent
16,26,0.0283,0.011,0.0487,0.0094,consent
17,26,0.052,0.0203,0.0739,0.0169,consent
18,27,0.0363,0.0094,0.0672,0.0184,consent
19,26,0.0179,0.006,0.0384,0.0093,consent
20,27,0.0151,0.0045,0.0277,0.0057,consent
21,27,0.0318,0.0121,0.0655,0.0159,consent
22,26,0.0351,0.0169,0.0571,0.0116,consent
23,27,0.0206,0.0029,0.0363,0.0099,consent
24,27,0.0261,0.0104,0.0482,0.0107,consent
25,23,0.0284,0.0123,0.04,0.0082,consent
26,27,0.0293,0.006,0.0425,0.0085,consent
27,26,0.0261,0.0114,0.0398,0.0077,consent
28,27,0.0288,0.014,0.0504,0.0117,consent
29,26,0.0297,0.0088,0.0483,0.0108,consented[1]/name
30,26,0.0373,0.0153,0.0613,0.0157,consented[1]/name
31,26,0.0289,0.0126,0.0608,0.0102,consented[1]/name
32,26,0.0402,0.0046,0.1932,0.0534,consented[1]/name
33,25,2.1365,0.0138,9.3663,3.3985,consented[1]/name
34,27,5.2653,1.3684,8.1978,2.0053,consented[1]/name
35,26,7.1573,1.4449,14.7635,2.982,consented[1]/name
36,27,7.3244,2.781,13.3301,2.476,consented[1]/name
37,26,6.1095,2.2394,10.8695,1.9494,consented[1]/name
38,27,4.3849,1.8123,9.4007,1.6021,consented[1]/name
39,27,1.8613,0.4303,3.9003,0.9542,consented[1]/name
40,26,1.4548,0.4392,3.4785,1.0021,consented[1]/name
41,27,1.8259,0.6116,4.3527,1.0789,consented[1]/name
42,26,4.2773,0.2575,7.9306,2.3362,consented[1]/name
43,26,2.4384,0.449,7.2343,1.7459,consented[1]/age
44,27,1.1923,0.3196,3.0016,0.6704,consented[1]/age
45,26,0.6627,0.1215,1.6599,0.4052,consented[1]/age
46,27,0.6995,0.0582,2.1406,0.5731,consented[1]/age
47,27,2.1426,0.1309,3.9522,0.9827,consented[1]/age
48,25,2.7349,0.8207,5.5565,1.5318,consented[1]/age
49,27,0.7226,0.1614,2.3989,0.6042,consented[1]/age
50,27,0.2969,0.0898,0.741,0.1846,consented[1]/age
51,26,0.7038,0.099,2.4904,0.5477,consented[1]/age
52,27,1.2339,0.2916,3.9205,1.0011,consented[1]/age
53,27,1.1406,0.1729,2.7026,0.8023,consented[1]/age
54,26,1.0318,0.0457,3.5014,0.8714,consented[1]/age
55,27,1.1109,0.155,3.5533,1.0364,consented[1]/age
56,26,0.2397,0.044,0.5381,0.1842,consented[1]/age
57,27,0.2364,0.0401,0.4543,0.1295,consented[1]/age
58,26,0.139,0.0174,0.2516,0.0531,consented[1]/age
59,26,1.8044,0.0976,8.7119,2.248,consented[1]/age
60,27,0.8566,0.0552,5.647,1.5047,consented[1]/age
61,27,0.1338,0.0092,0.2875,0.0653,consented[1]/age
62,26,0.1676,0.0454,0.4785,0.1215,consented[1]/age
63,27,0.4256,0.2151,0.6795,0.1518,consented[1]/age
64,27,0.7331,0.1644,2.2578,0.6013,consented[1]/age
65,26,0.7238,0.0952,1.9567,0.524,consented[1]/age
66,27,0.9138,0.2327,2.5281,0.6169,consented[1]/age
67,26,0.6157,0.0297,1.8544,0.4966,consented[1]/age
68,27,0.7,0.1292,2.7882,0.6064,consented[1]/age
69,26,0.4434,0.0519,1.2139,0.3522,consented[1]/age
70,27,0.3656,0.0483,0.851,0.2928,consented[1]/age
71,26,0.5611,0.2615,1.0358,0.2406,consented[1]/age
72,27,0.4795,0.0984,1.2908,0.3372,consented[1]/confirmnote
73,26,0.1943,0.0353,0.4184,0.0903,consented[1]/confirmnote
74,26,0.3659,0.0516,0.9258,0.2099,
