second,count,mean,min,max,sd,fieldname
1,23,75.1459,0,105.0875,22.1338,
2,25,146.2991,79.3841,181.196,29.9194,
3,25,169.0554,86.4835,333.5359,70.6148,
4,25,93.0371,41.34,160.469,38.6314,intronote
5,25,83.5512,50.1131,122.4879,17.5201,intronote
6,25,75.9926,53.4039,149.3392,24.9912,intronote
7,25,93.5535,59.1242,153.931,26.527,intronote
8,25,112.2053,48.5659,177.8841,36.6948,intronote
9,25,316.2485,56.1044,1304.0028,441.36,intronote
10,25,97.8905,55.1299,186.4,38.0502,intronote
11,25,113.2957,44.9207,212.76,50.3494,intronote
12,25,81.0468,46.1262,139.4433,26.2899,intronote
13,25,99.9754,46.9902,154.9763,31.5557,intronote
14,25,106.0441,58.178,201.081,38.1783,intronote
15,25,69.9949,52.6652,97.1557,13.0982,intronote
16,25,99.9115,42.1144,156.4167,31.9892,intronote
17,25,118.5166,49.0733,273.5412,80.5127,intronote
18,25,128.8565,77.1144,200.9305,31.7817,intronote
19,25,113.7744,66.0684,184.0635,37.3198,intronote
20,25,108.1416,77.6019,132.5943,13.8419,intronote
21,25,107.6843,49.6091,167.774,32.1066,intronote
22,25,92.8476,45.0925,175.0178,37.3678,intronote
23,25,100.1434,61.4121,153.3014,27.4105,intronote
24,25,333.3904,72.7634,736.6274,211.6178,intronote
25,25,365.9321,95.8519,784.9409,179.8061,consent
26,25,154.5173,47.1971,352.4281,105.9114,consent
27,25,108.6087,62.0807,147.1032,26.9533,consented[1]/name
28,25,124.7672,49.3668,286.1501,76.3006,consented[1]/name
29,25,99.0272,57.3218,161.5101,29.2814,consented[1]/name
30,25,102.8727,54.464,132.3789,18.616,consented[1]/name
31,25,109.4974,83.5018,139.608,17.7668,consented[1]/name
32,25,88.2564,46.652,160.2251,35.9491,consented[1]/name
33,25,110.1425,68.1583,173.1491,28.6971,consented[1]/name
34,25,121.3485,49.4283,156.5276,33.9155,consented[1]/age
35,25,73.6902,50.1244,119.9139,22.6823,consented[1]/age
36,25,86.0389,51.8913,171.1214,38.6875,consented[1]/age
37,25,155.8742,41.735,393.1051,94.6102,consented[1]/age
38,25,79.3795,52.5609,157.2858,25.5337,consented[1]/age
39,25,144.1105,59.4523,216.625,43.4716,consented[1]/age
40,25,93.3057,61.4806,136.3939,24.8468,consented[1]/age
41,25,102.8909,53.0269,182.4153,35.8953,consented[1]/age
42,25,122.8013,46.1652,231.6451,53.5248,consented[1]/confirmnote
43,25,79.8472,52.6873,132.0208,20.7944,
