second,count,mean,min,max,sd,fieldname
1,23,54.8705,0,71.7703,16.9933,
2,25,64.738,48.6132,110.8686,21.2568,intronote
3,25,92.0176,40.9511,179.3809,39.6519,intronote
4,25,61.3814,39.0324,101.5843,19.1628,intronote
5,25,98.8799,39.0321,157.2282,42.7826,consent
6,25,86.6759,39.187,112.649,23.4666,consent
7,25,114.4139,38.3831,221.5881,59.4106,consent
8,25,81.4164,43.487,118.2723,18.2726,consent
9,25,76.3346,44.1649,178.7476,30.5968,consent
10,25,137.7992,103.6795,200.1425,27.3821,consent
11,25,133.0803,90.7575,156.0721,21.552,consent
12,25,111.9818,68.8537,215.1781,44.329,consent
13,25,81.9701,48.0052,162.3565,33.4772,consent
14,25,100.8214,57.6627,174.0578,31.4098,consent
15,25,98.7702,44.6242,163.6922,33.3973,consent
16,25,154.4658,43.4451,326.923,78.0579,consent
17,25,102.1348,39.071,244.0625,65.0297,consent
18,25,119.1635,71.4383,244.0381,34.1003,consent
19,25,95.2538,42.2565,160.5332,30.6454,consent
20,25,130.2585,74.8243,179.1815,25.3956,consent
21,25,118.9251,52.4307,281.1966,63.8757,consent
22,25,136.2118,54.9878,270.7686,62.8096,consent
23,25,116.119,40.995,262.2646,62.4123,consent
24,25,80.6602,43.7313,122.2583,23.0168,consent
25,25,112.2267,66.8344,165.9123,31.5749,consent
26,25,77.8484,49.8895,146.0205,25.4191,consent
27,25,72.2511,47.9481,115.3547,19.4614,consented[1]/name
28,25,109.4241,59.1482,256.2525,57.3199,consented[1]/name
29,25,124.787,40.2414,176.7264,40.5702,consented[1]/name
30,25,91.6835,53.5608,128.2299,19.6702,consented[1]/name
31,25,76.253,38.9599,124.5315,22.7748,consented[1]/name
32,25,121.7196,80.3118,169.623,25.2484,consented[1]/name
33,25,113.6376,62.6486,194.569,37.9481,consented[1]/name
34,25,111.0576,65.2774,152.9213,26.5832,consented[1]/name
35,25,127.6418,75.5794,171.3081,30.1032,consented[1]/name
36,25,112.9634,78.5327,128.5044,12.2654,consented[1]/name
37,25,98.0617,56.2069,170.8429,32.6039,consented[1]/name
38,25,69.448,40.3617,132.9001,31.8864,consented[1]/name
39,25,100.9177,63.4345,133.4146,21.6432,consented[1]/name
40,25,120.8773,57.3726,183.0717,40.8376,consented[1]/name
41,25,72.1514,47.5647,105.7758,19.3001,consented[1]/age
42,25,92.3115,48.7787,147.0823,29.2067,consented[1]/age
43,25,68.5295,41.8612,114.5435,26.6851,consented[1]/age
44,25,119.571,46.9621,174.8796,41.39,consented[1]/age
45,25,77.6408,50.4493,137.9331,23.7025,consented[1]/age
46,25,87.2143,63.9275,117.151,15.2586,consented[1]/age
47,25,116.5422,66.6472,179.6233,34.7889,consented[1]/age
48,25,97.5046,62.2163,136.8881,22.9976,consented[1]/age
49,25,82.2475,62.5421,103.8607,11.2124,consented[1]/age
50,25,96.7356,64.5199,134.2036,19.32,consented[1]/age
51,25,72.8891,38.7837,121.9178,25.0113,consented[1]/age
52,25,75.4387,50.7627,123.4091,20.1737,consented[1]/age
53,25,76.5244,46.1547,112.6659,18.3996,consented[1]/age
54,25,117.7846,45.905,236.5711,61.0009,consented[1]/age
55,25,97.0785,44.8837,161.8125,29.1431,consented[1]/age
56,25,53.7345,39.1717,98.8188,16.4069,consented[1]/age
57,25,71.7188,39.1055,135.0303,32.8048,consented[1]/age
58,25,99.4386,46.4335,154.5602,33.2249,consented[1]/age
59,25,63.9039,48.2039,78.8445,11.5928,consented[1]/age
60,25,92.7861,46.3973,155.0081,28.2689,consented[1]/age
61,25,86.4548,39.029,165.6338,41.7645,consented[1]/age
62,25,84.8774,38.9965,135.6324,34.5224,consented[1]/age
63,25,68.4909,39.0781,113.9943,20.4788,consented[1]/age
64,25,60.1436,46.3388,76.8553,9.4465,consented[1]/age
65,25,70.1521,49.0291,95.7626,13.0491,consented[1]/age
66,25,103.5132,63.9321,184.4788,31.9794,consented[1]/age
67,25,77.7675,38.824,222.09,51.2337,consented[1]/age
68,25,83.7647,39.1278,132.3895,29.0632,consented[1]/age
69,25,105.7356,52.6757,164.0032,27.2033,consented[1]/age
70,25,66.2163,49.6616,97.9079,15.5729,consented[1]/confirmnote
71,25,77.405,43.3594,141.2886,30.6244,consented[1]/confirmnote
72,25,66.1621,43.4575,102.7964,21.7008,
