second,count,mean,min,max,sd,fieldname
1,15,1.1507,0.2404,1.6263,0.3926,
2,26,1.2308,0.3039,2.7181,0.69,
3,27,0.6987,0.165,2.2219,0.5929,
4,26,0.8992,0.3074,2.4306,0.5945,intronote
5,26,1.0944,0.1733,2.4014,0.8321,intronote
6,27,1.4884,0.2302,4.854,1.2002,intronote
7,27,1.9947,0.2989,9.1625,2.3105,intronote
8,26,1.9333,0.3253,9.2535,2.3217,intronote
9,27,1.4443,0.2624,4.3034,1.1295,intronote
10,27,1.5301,0.2056,6.4108,1.6112,intronote
11,25,1.1593,0.209,3.441,1.0569,intronote
12,27,0.752,0.1874,2.6199,0.5605,intronote
13,27,0.493,0.1306,1.4906,0.354,intronote
14,26,0.1616,0.0587,0.3927,0.0984,intronote
15,27,0.2734,0.0958,0.4874,0.1213,intronote
16,27,1.2438,0.0385,6.8767,1.7919,intronote
17,26,1.1417,0.0871,4.064,1.172,intronote
18,27,0.9415,0.0829,4.1475,1.0124,intronote
19,27,1.4516,0.1356,5.3463,1.5502,intronote
20,26,0.9156,0.1504,6.6651,1.3618,intronote
21,27,0.4263,0.0729,1.1071,0.2888,intronote
22,27,0.1594,0.0431,0.3521,0.0862,intronote
23,26,0.289,0.0582,0.6881,0.2014,intronote
24,26,0.6125,0.1604,1.7317,0.484,intronote
25,27,1.2556,0.2784,3.1103,0.6659,consent
26,26,1.1723,0.1899,3.5677,0.9571,consent
27,27,0.9321,0.1035,6.3463,1.5981,consent
28,26,0.6955,0.2393,1.8333,0.4285,consented[1]/name
29,26,0.8215,0.3011,1.9346,0.4862,consented[1]/name
30,27,0.5318,0.1105,1.5718,0.4328,consented[1]/name
31,27,0.2844,0.0398,0.7792,0.19,consented[1]/name
32,26,0.3699,0.1031,1.3951,0.273,consented[1]/name
33,27,0.4699,0.1849,1.3559,0.2912,consented[1]/name
34,26,0.9058,0.1587,2.8155,0.7465,consented[1]/age
35,26,0.9557,0.3192,1.7003,0.4207,consented[1]/age
36,27,0.6317,0.2225,1.4111,0.3512,consented[1]/age
37,27,0.4207,0.1297,1.0187,0.2836,consented[1]/age
38,26,0.3168,0.1118,0.5661,0.1566,consented[1]/age
39,27,0.2155,0.0606,1.0993,0.1986,consented[1]/age
40,26,0.1837,0.0488,0.4298,0.1127,consented[1]/age
41,26,0.4438,0.0948,1.3251,0.2881,consented[1]/age
42,27,0.6829,0.1114,1.9036,0.5661,consented[1]/confirmnote
43,27,0.4762,0.078,1.685,0.4511,
