second,count,mean,min,max,sd,fieldname
1,21,45.6511,-2.4508,53.0474,12.5864,intronote
2,25,49.6075,42.6135,56.9011,3.9578,consent
3,25,51.989,47.0892,55.2624,2.4888,consent
4,25,49.7688,47.1336,57.0049,2.5126,consent
5,25,50.0266,47.7713,58.2079,2.3053,consent
6,25,51.8337,46.8279,58.711,3.6697,consent
7,25,52.1749,42.371,57.4416,4.7616,consent
8,25,54.5458,51.665,57.4646,1.5804,consent
9,25,56.108,49.7741,58.6953,2.2746,consent
10,25,52.6845,47.2122,58.084,3.2962,consent
11,25,47.0777,37.0289,55.6139,4.26,consent
12,25,52.9066,49.0416,56.5371,2.0468,consent
13,25,50.9827,44.8823,56.7617,2.7641,consent
14,25,53.0989,46.6321,59.6742,3.9931,consent
15,25,55.7879,51.216,59.731,2.4456,consent
16,25,54.3918,49.7088,59.1482,2.8257,consent
17,25,48.7868,44.8099,55.4902,2.1542,consent
18,25,53.8618,47.3276,57.8826,2.3202,consent
19,25,57.4224,45.2598,74.3447,7.8964,consent
20,25,54.0537,47.2867,62.8145,4.5617,consent
21,25,51.4696,42.8035,59.4958,3.946,consent
22,25,53.2298,42.916,59.3615,4.0684,consent
23,25,54.0063,46.5276,59.1874,3.6804,consent
24,25,51.3586,44.3751,58.5629,3.4221,consent
25,25,52.3423,44.5981,58.2067,3.2284,consent
26,25,54.8789,49.895,58.7782,2.4303,consent
27,25,52.5425,46.9927,56.7349,2.5899,consent
28,25,52.5745,49.6903,54.8148,1.3032,consent
29,25,53.5638,49.8093,59.0487,2.5583,consent
30,25,51.7439,46.8049,57.9843,3.4297,consent
31,25,52.3859,45.4085,59.314,3.4794,consent
32,25,56.5359,50.5105,62.557,3.1212,consent
33,25,53.731,47.4899,59.5278,3.5478,consent
34,25,51.6079,48.635,56.506,2.3874,consent
35,25,50.6361,45.5073,56.4361,2.8464,consent
36,25,52.5525,46.4461,56.0711,2.8701,consent
37,25,53.5067,45.8729,55.7096,2.2761,consent
38,25,54.4638,50.2698,57.1436,1.6979,consent
39,25,54.5664,49.9958,58.4282,2.4662,consent
40,25,54.0988,49.8209,56.6599,1.7762,consent
41,25,55.7215,53.7336,60.3228,1.6004,consent
42,25,54.4922,50.6304,57.9543,1.8236,consent
43,25,56.6644,51.9109,59.6458,1.5956,consent
44,25,56.5598,52.9635,59.5071,1.8993,consent
45,25,54.7184,50.2738,59.0875,2.4224,consent
46,25,57.2149,51.5643,60.0731,2.552,consent
47,25,55.556,50.1237,59.8657,3.5709,
48,25,54.9765,50.7274,57.6718,1.8664,
49,25,55.7469,49.5713,62.4825,2.9231,
