second,count,mean,min,max,sd,fieldname
1,8,77.375,77,78,0.5175,intronote
2,14,78.2143,77,79,0.8018,intronote
3,13,77.9231,76,79,1.1875,consent
4,15,79.2,77,80,1.0142,consent
5,13,77.4615,76,78,0.8771,consent
6,13,80.6923,78,82,1.3775,consent
7,14,76.7143,75,82,1.8576,consent
8,12,80.75,78,82,1.7123,consent
9,14,78,76,81,1.9215,consent
10,11,78.8182,77,81,1.7787,consent
11,12,79.4167,78,81,1.3114,consent
12,14,77.5714,76,79,1.0894,consent
13,15,78.8,77,81,1.3732,consent
14,14,78.9286,78,80,0.73,consent
15,15,77.3333,75,79,1.633,consent
16,12,79.3333,78,80,0.8876,consent
17,12,78.5,76,80,1.8829,consent
18,14,77.4286,75,80,1.989,consent
19,15,80.8,79,83,1.5213,consent
20,12,76.5,76,79,1.1677,consent
21,14,80.4286,78,82,1.5046,consent
22,15,77.4667,75,80,1.7265,consent
23,12,78.6667,76,81,1.8749,consent
24,14,78.4286,78,79,0.5136,consent
25,15,78.7333,78,80,0.7037,consent
26,15,77.6667,76,79,0.8997,consent
27,14,79.7143,78,81,0.9945,consent
28,13,78.6923,75,82,2.3939,consent
29,14,77.4286,74,81,2.4088,consent
30,12,80.75,80,82,0.7538,consent
31,14,76.5,75,78,1.019,consent
32,13,80.1538,78,82,1.8187,consent
33,14,78.4286,76,81,1.5046,consent
34,15,77.2667,76,79,1.0998,consent
35,15,79.2667,78,81,1.1629,consent
36,16,78.6875,78,80,0.6021,consent
37,14,78.0714,76,80,1.3281,consent
38,15,78.6,76,80,1.2421,consent
39,14,79.7857,77,81,1.6257,consent
40,13,77,75,79,1.5811,consent
41,13,80.4615,78,82,1.45,consent
42,12,77.9167,76,81,1.9287,consent
43,13,76.7692,75,79,1.5892,consent
44,14,80.7857,77,83,2.1187,consent
45,15,76.8,76,78,0.7746,consent
46,15,79.0667,78,81,1.0328,consent
47,14,78.6429,78,80,0.6333,
48,15,78.8,78,80,0.7746,
49,13,77.3846,75,79,1.3253,
