second,count,mean,min,max,sd,fieldname
1,7,8.7143,8,9,0.488,
2,16,12.9375,9,20,3.9067,
3,15,24.9333,15,29,3.4115,
4,14,26.8571,21,30,3.348,
5,13,28.9231,28,30,0.6405,
6,11,28.7273,28,30,0.6467,
7,15,29.8,29,31,0.7746,intronote
8,11,28.9091,28,30,0.5394,intronote
9,13,29.1538,28,31,0.8987,intronote
10,12,29.6667,29,30,0.4924,intronote
11,14,7,3,9,1.8811,intronote
12,13,9.8462,7,30,6.108,intronote
13,12,28.8333,28,30,0.7177,intronote
14,13,28.3846,28,29,0.5064,intronote
15,12,29.3333,29,30,0.4924,intronote
16,13,28.6923,28,29,0.4804,intronote
17,12,28.75,28,29,0.4523,intronote
18,12,29.25,29,30,0.4523,intronote
19,10,29,29,29,0,intronote
20,15,24.7333,8,30,8.7052,intronote
21,16,13.4375,8,27,4.8986,intronote
22,14,15.2857,13,18,1.7728,intronote
23,14,14.7143,12,19,2.3996,consent
24,13,23,19,25,2,consented[1]/name
25,14,21.2857,20,23,1.326,consented[1]/name
26,14,20.3571,19,22,1.2157,consented[1]/name
27,16,15.6875,8,21,4.423,consented[1]/name
28,12,10.5833,8,16,3.3428,consented[1]/name
29,15,16.5333,9,25,6.9884,consented[1]/name
30,15,20.1333,18,22,1.4573,consented[1]/name
31,14,20.4286,19,22,1.0163,consented[1]/name
32,15,19.8667,17,23,1.9223,consented[1]/name
33,12,13.25,10,23,3.7203,consented[1]/age
34,16,24.6875,14,39,8.7842,consented[1]/age
35,15,87,18,274,84.8124,consented[1]/age
36,16,245.375,204,277,25.6538,consented[1]/age
37,15,147.7333,55,204,50.304,consented[1]/age
38,16,8.375,1,17,6.2383,consented[1]/age
39,13,2,1,3,0.7071,consented[1]/age
40,10,2,2,2,0,consented[1]/age
41,10,2,2,2,0,consented[1]/age
42,10,2,2,2,0,consented[1]/age
43,11,1.3636,1,2,0.5045,consented[1]/age
44,13,0.6923,0,2,0.8549,consented[1]/age
45,15,0.6,0,1,0.5071,consented[1]/age
46,12,0.25,0,1,0.4523,consented[1]/age
47,14,0.4286,0,1,0.5136,consented[1]/age
48,13,0.4615,0,1,0.5189,consented[1]/age
49,10,1,1,1,0,consented[1]/age
50,12,1.25,1,2,0.4523,consented[1]/age
51,13,3.2308,0,13,5.585,consented[1]/age
52,14,11.2143,9,16,2.8333,consented[1]/age
53,13,11.0769,9,16,2.8712,consented[1]/age
54,12,13.8333,9,17,3.3257,consented[1]/confirmnote
55,12,9.25,9,10,0.4523,consented[1]/confirmnote
56,13,10.6154,9,15,2.2188,consented[1]/confirmnote
57,15,12.7333,9,19,3.8446,consented[1]/confirmnote
58,15,18.4667,16,23,2.669,consented[1]/confirmnote
59,16,18.3125,17,20,1.25,consented[1]/confirmnote
60,14,14.5714,12,20,2.8206,consented[1]/confirmnote
61,11,12.1818,12,13,0.4045,consented[1]/confirmnote
62,12,12.25,12,13,0.4523,consented[1]/confirmnote
63,11,12.1818,12,13,0.4045,consented[1]/confirmnote
64,13,11.8462,11,13,0.5547,consented[1]/confirmnote
65,12,11.75,11,12,0.4523,consented[1]/confirmnote
66,12,11.75,11,12,0.4523,consented[1]/confirmnote
67,13,18.0769,12,26,5.9507,consented[1]/confirmnote
68,11,9,9,9,0,
