second,count,mean,min,max,sd,fieldname
1,21,43.9715,-0.7058,55.1286,12.5364,
2,25,48.0972,42.4841,57.5446,3.3567,intronote
3,25,52.9314,41.3561,58.6188,5.2862,intronote
4,25,54.0995,47.2037,56.9487,2.2142,intronote
5,25,51.8694,48.1704,55.1056,2.2024,consent
6,25,51.6587,46.3595,56.3026,2.4015,consent
7,25,54.6155,52.6965,57.2927,1.3172,consent
8,25,55.1545,51.2635,58.3937,2.1251,consent
9,25,50.8105,44.8766,55.4103,2.7968,consent
10,25,54.4224,47.48,73.6217,4.7085,consent
11,25,53.6004,40.4714,56.962,3.6756,consent
12,25,50.9955,45.8742,55.0057,2.4487,consent
13,25,47.8088,42.4543,55.1128,3.7722,consent
14,25,45.5851,42.602,58.7114,3.8004,consent
15,25,48.9855,39.2872,58.0725,4.8302,consent
16,25,48.3081,41.022,56.8031,4.5229,consent
17,25,47.6599,40.5227,57.1241,4.6625,consent
18,25,53.4932,44.4307,57.0277,2.8536,consent
19,25,51.7507,47.1468,58.1811,2.9405,consent
20,25,45.8166,42.7394,50.8406,2.3411,consent
21,25,50.735,41.2028,57.6322,5.514,consent
22,25,50.8282,43.9337,55.7027,2.7836,consent
23,25,48.9195,43.2014,52.6387,2.4258,consent
24,25,49.8599,39.8557,56.8797,3.8677,consent
25,25,46.5211,37.5362,57.3238,5.9242,consent
26,25,50.2338,39.5039,58.0708,5.9282,consent
27,25,52.2396,43.436,57.6999,4.5779,consented[1]/name
28,25,49.5773,42.0277,55.5652,3.1161,consented[1]/name
29,25,52.5831,46.4611,57.8519,3.3907,consented[1]/name
30,25,51.7832,44.5472,57.3027,3.7126,consented[1]/name
31,25,53.17,47.1688,59.4545,3.4741,consented[1]/name
32,25,52.4697,42.8216,59.4823,4.8765,consented[1]/name
33,25,52.9444,43.6062,66.0877,5.5137,consented[1]/name
34,25,50.8686,44.648,59.3134,3.5357,consented[1]/name
35,25,53.2727,45.6407,59.572,3.3459,consented[1]/name
36,25,49.184,39.7016,56.0636,4.9874,consented[1]/name
37,25,46.8243,36.1927,59.5193,6.4528,consented[1]/name
38,25,48.3412,37.7501,57.0974,5.4471,consented[1]/name
39,25,52.1559,45.9376,57.8727,3.4951,consented[1]/name
40,25,54.2038,49.4814,58.0871,2.3171,consented[1]/name
41,25,55.1265,50.2927,59.3569,2.0112,consented[1]/age
42,25,52.5503,46.7702,58.1515,2.7945,consented[1]/age
43,25,55.1698,50.1099,57.4746,1.8063,consented[1]/age
44,25,54.8496,45.1892,57.7966,2.8145,consented[1]/age
45,25,49.5115,41.7741,57.5144,3.6834,consented[1]/age
46,25,49.9372,44.9346,54.8408,2.7089,consented[1]/age
47,25,56.7154,52.2682,59.6917,1.9385,consented[1]/age
48,25,53.4106,50.0774,58.408,2.6057,consented[1]/age
49,25,55.7976,51.9633,59.1036,1.9823,consented[1]/age
50,25,56.4415,47.0695,62.0743,3.7534,consented[1]/age
51,25,53.3127,45.788,59.9377,3.8208,consented[1]/age
52,25,53.4866,48.2469,58.2743,2.5705,consented[1]/age
53,25,54.6346,49.2134,59.1735,2.7127,consented[1]/age
54,25,54.0716,46.694,57.4407,2.9118,consented[1]/age
55,25,56.6095,52.5788,60.8176,2.0243,consented[1]/age
56,25,56.5546,51.0233,60.3872,2.5107,consented[1]/age
57,25,55.0073,50.7529,59.5383,2.7713,consented[1]/age
58,25,54.7612,44.9792,61.0976,3.7862,consented[1]/age
59,25,53.0062,47.0737,57.4828,3.2381,consented[1]/age
60,25,55.5789,51.2217,59.6294,2.518,consented[1]/age
61,25,55.936,52.7276,60.8938,1.9811,consented[1]/age
62,25,51.4849,45.6371,57.4267,3.4354,consented[1]/age
63,25,52.9297,46.6974,56.735,2.8222,consented[1]/age
64,25,55.4273,51.2747,58.8849,1.951,consented[1]/age
65,25,49.2861,44.7975,57.056,3.262,consented[1]/age
66,25,52.2069,43.155,62.2221,6.3857,consented[1]/age
67,25,55.2834,51.9634,58.675,2.0687,consented[1]/age
68,25,51.4527,46.5706,57.0059,3.2959,consented[1]/age
69,25,49.7848,43.9318,54.9123,2.8337,consented[1]/age
70,25,53.0327,47.9967,57.2571,1.7753,consented[1]/confirmnote
71,25,50.5742,46.1143,57.9243,2.4106,consented[1]/confirmnote
72,25,52.0873,48.8619,55.9823,2.0738,
