second,count,mean,min,max,sd,fieldname
1,0,,,,,
2,1,1,1,1,0,
3,1,0,0,0,0,
4,1,1,1,1,0,
5,1,0,0,0,0,
6,1,0,0,0,0,
7,1,1,1,1,0,intronote
8,1,0,0,0,0,intronote
9,1,0,0,0,0,intronote
10,1,0,0,0,0,intronote
11,1,0,0,0,0,intronote
12,1,1,1,1,0,intronote
13,1,0,0,0,0,intronote
14,1,0,0,0,0,intronote
15,1,0,0,0,0,intronote
16,1,0,0,0,0,intronote
17,1,0,0,0,0,intronote
18,1,0,0,0,0,intronote
19,1,0,0,0,0,intronote
20,1,1,1,1,0,intronote
21,1,1,1,1,0,intronote
22,1,1,1,1,0,consent
23,1,1,1,1,0,consent
24,1,1,1,1,0,consented[1]/name
25,1,1,1,1,0,consented[1]/name
26,1,1,1,1,0,consented[1]/name
27,1,1,1,1,0,consented[1]/name
28,1,0,0,0,0,consented[1]/name
29,1,0,0,0,0,consented[1]/name
30,1,0,0,0,0,consented[1]/name
31,1,0,0,0,0,consented[1]/name
32,1,0,0,0,0,consented[1]/age
33,1,0,0,0,0,consented[1]/age
34,1,0,0,0,0,consented[1]/age
35,1,0,0,0,0,consented[1]/age
36,1,0,0,0,0,consented[1]/age
37,1,0,0,0,0,consented[1]/age
38,1,1,1,1,0,consented[1]/age
39,1,0,0,0,0,consented[1]/age
40,1,1,1,1,0,consented[1]/age
41,1,0,0,0,0,consented[1]/age
42,1,0,0,0,0,consented[1]/age
43,1,0,0,0,0,consented[1]/age
44,1,0,0,0,0,consented[1]/age
45,1,0,0,0,0,consented[1]/age
46,1,0,0,0,0,consented[1]/age
47,1,0,0,0,0,consented[1]/age
48,1,0,0,0,0,consented[1]/age
49,1,0,0,0,0,consented[1]/age
50,1,0,0,0,0,consented[1]/age
51,1,0,0,0,0,consented[1]/age
52,1,1,1,1,0,consented[1]/age
53,1,0,0,0,0,consented[1]/age
54,1,0,0,0,0,consented[1]/confirmnote
55,1,1,1,1,0,consented[1]/confirmnote
56,1,1,1,1,0,consented[1]/confirmnote
57,1,1,1,1,0,consented[1]/confirmnote
58,1,1,1,1,0,consented[1]/confirmnote
59,1,1,1,1,0,consented[1]/confirmnote
60,1,1,1,1,0,consented[1]/confirmnote
61,1,1,1,1,0,consented[1]/confirmnote
62,1,1,1,1,0,consented[1]/confirmnote
63,1,1,1,1,0,consented[1]/confirmnote
64,1,1,1,1,0,consented[1]/confirmnote
65,1,1,1,1,0,consented[1]/confirmnote
66,1,1,1,1,0,consented[1]/confirmnote
67,1,1,1,1,0,
68,1,0,0,0,0,
