second,count,mean,min,max,sd,fieldname
1,0,,,,,
2,1,1,1,1,0,intronote
3,1,0,0,0,0,intronote
4,1,1,1,1,0,intronote
5,1,1,1,1,0,consent
6,1,0,0,0,0,consent
7,1,1,1,1,0,consent
8,1,0,0,0,0,consent
9,1,1,1,1,0,consent
10,1,1,1,1,0,consent
11,1,1,1,1,0,consent
12,1,1,1,1,0,consent
13,1,1,1,1,0,consent
14,1,1,1,1,0,consent
15,1,1,1,1,0,consent
16,1,1,1,1,0,consent
17,1,0,0,0,0,consent
18,1,1,1,1,0,consent
19,1,1,1,1,0,consent
20,1,1,1,1,0,consent
21,1,0,0,0,0,consent
22,1,1,1,1,0,consent
23,1,0,0,0,0,consent
24,1,0,0,0,0,consent
25,1,1,1,1,0,consent
26,1,1,1,1,0,consent
27,1,1,1,1,0,consented[1]/name
28,1,1,1,1,0,consented[1]/name
29,1,1,1,1,0,consented[1]/name
30,1,1,1,1,0,consented[1]/name
31,1,1,1,1,0,consented[1]/name
32,1,1,1,1,0,consented[1]/name
33,1,1,1,1,0,consented[1]/name
34,1,1,1,1,0,consented[1]/name
35,1,1,1,1,0,consented[1]/name
36,1,1,1,1,0,consented[1]/name
37,1,1,1,1,0,consented[1]/name
38,1,1,1,1,0,consented[1]/name
39,1,1,1,1,0,consented[1]/name
40,1,1,1,1,0,consented[1]/name
41,1,1,1,1,0,consented[1]/age
42,1,1,1,1,0,consented[1]/age
43,1,1,1,1,0,consented[1]/age
44,1,1,1,1,0,consented[1]/age
45,1,1,1,1,0,consented[1]/age
46,1,1,1,1,0,consented[1]/age
47,1,1,1,1,0,consented[1]/age
48,1,1,1,1,0,consented[1]/age
49,1,1,1,1,0,consented[1]/age
50,1,1,1,1,0,consented[1]/age
51,1,1,1,1,0,consented[1]/age
52,1,1,1,1,0,consented[1]/age
53,1,1,1,1,0,consented[1]/age
54,1,1,1,1,0,consented[1]/age
55,1,1,1,1,0,consented[1]/age
56,1,1,1,1,0,consented[1]/age
57,1,0,0,0,0,consented[1]/age
58,1,1,1,1,0,consented[1]/age
59,1,1,1,1,0,consented[1]/age
60,1,1,1,1,0,consented[1]/age
61,1,1,1,1,0,consented[1]/age
62,1,1,1,1,0,consented[1]/age
63,1,1,1,1,0,consented[1]/age
64,1,0,0,0,0,consented[1]/age
65,1,0,0,0,0,consented[1]/age
66,1,0,0,0,0,consented[1]/age
67,1,1,1,1,0,consented[1]/age
68,1,0,0,0,0,consented[1]/age
69,1,1,1,1,0,consented[1]/age
70,1,1,1,1,0,consented[1]/confirmnote
71,1,0,0,0,0,consented[1]/confirmnote
72,1,1,1,1,0,
