second,count,mean,min,max,sd,fieldname
1,23,41.1241,0,72.2578,11.955,intronote
2,25,59.3462,39.0229,105.7149,26.205,consent
3,25,80.6973,38.5737,150.6939,34.0382,consent
4,25,65.7018,43.0735,119.7891,25.1389,consent
5,25,58.0137,43.3269,104.8119,18.9234,consent
6,25,83.1885,43.7197,112.4453,21.5465,consent
7,25,100.8061,49.0006,174.5772,36.1006,consent
8,25,83.8482,46.5336,151.096,25.3737,consent
9,25,101.5286,50.0114,173.4215,33.3941,consent
10,25,111.7115,46.0222,176.5689,33.1101,consent
11,25,71.5992,56.6765,123.3571,15.6625,consent
12,25,101.1869,69.8847,152.9196,24.0016,consent
13,25,90.7138,63.2083,144.0624,25.9319,consent

29,25,72.9406,39.1576,116.1849,21.726,consent
30,25,93.6056,48.2303,149.4644,28.8988,consent
31,25,102.5616,57.4624,161.625,32.14,consent
32,25,94.044,54.8298,135.6899,27.1082,consent
33,25,76.5572,47.1016,121.0484,23.1504,consent
34,25,95.8577,52.1358,162.876,28.274,consent
35,25,90.9609,52.4865,147.5333,28.3781,consent
36,25,121.3622,74.0172,237.8632,46.1131,consent
37,25,69.9153,39.0468,103.5169,16.8629,consent
38,25,75.9478,39.2124,141.4365,27.99,consent
39,25,94.151,38.0335,167.677,40.522,consent
40,25,91.7003,39.6851,191.6157,42.8676,consent
41,25,133.111,40.2831,198.4552,54.8176,consent
42,25,135.508,52.1958,196.6094,35.5664,consent
43,25,130.2212,39.2023,201.2078,47.5864,consent
44,25,121.3671,79.3142,192.7988,30.2254,consent
45,25,94.3699,48.0854,132.8472,26.8547,consent
46,25,112.0864,55.4376,176.0942,38.2389,consent
47,25,130.1962,55.1237,174.2118,28.9726,
48,25,81.1022,54.908,114.1006,17.1285,
49,25,104.999,50.1842,169.6377,35.8778,
