second,count,mean,min,max,sd,fieldname
1,15,0.959,0.5748,1.5636,0.3294,
2,27,1.304,0.1848,3.738,0.7896,
3,26,1.0754,0.2751,5.2788,1.0739,
4,27,0.0909,0.0347,0.2051,0.0447,
5,27,0.0568,0.019,0.338,0.0577,
6,26,0.0422,0.0101,0.1186,0.0268,
7,26,0.1007,0.0101,0.3414,0.0875,intronote
8,27,0.0438,0.0145,0.0737,0.0174,intronote
9,26,0.0369,0.0224,0.0697,0.0155,intronote
10,27,0.0649,0.0145,0.2962,0.0785,intronote
11,27,0.4063,0.028,2.2086,0.5805,intronote
12,26,1.533,0.0876,13.7411,2.7312,intronote
13,27,0.052,0.0149,0.1378,0.032,intronote
14,27,0.0219,0.0066,0.0341,0.0075,intronote
15,26,0.0347,0.0113,0.0874,0.0217,intronote
16,27,0.0604,0.0162,0.1767,0.0316,intronote
17,26,0.0447,0.0126,0.157,0.0376,intronote
18,26,0.0405,0.0113,0.0815,0.021,intronote
19,27,0.0566,0.0123,0.1108,0.0317,intronote
20,27,0.8324,0.04,5.1425,1.3232,intronote
21,26,2.3872,0.5128,6.3241,1.7121,intronote
22,27,0.6032,0.2183,1.6462,0.3471,intronote
23,26,0.8105,0.381,2.6418,0.5847,consent
24,26,0.9243,0.2268,2.1269,0.5666,consented[1]/name
25,27,0.3896,0.0658,1.1886,0.2935,consented[1]/name
26,27,0.5727,0.2189,1.5821,0.3691,consented[1]/name
27,26,2.8387,0.3225,9.5178,2.6814,consented[1]/name
28,26,6.7611,1.846,17.5035,3.9642,consented[1]/name
29,27,5.7315,1.0029,17.5035,4.3851,consented[1]/name
30,26,0.9416,0.4119,1.5435,0.3454,consented[1]/name
31,27,0.5353,0.0555,1.5245,0.3512,consented[1]/name
32,27,0.632,0.093,1.1966,0.3275,consented[1]/name
33,24,0.8481,0.171,2.2418,0.657,consented[1]/age
34,27,1.9062,0.7752,3.6242,0.919,consented[1]/age
35,27,2.6397,0.6649,5.0524,1.1164,consented[1]/age
36,26,0.7526,0.3737,1.5847,0.3029,consented[1]/age
37,27,2.4986,0.2307,6.173,2.1867,consented[1]/age
38,27,4.9322,1.1013,32.4419,7.9849,consented[1]/age
39,26,1.992,0.2203,5.3124,1.4644,consented[1]/age
40,27,0.3842,0.0447,0.6804,0.1896,consented[1]/age
41,27,0.1374,0.0552,0.4111,0.0835,consented[1]/age
42,26,0.2173,0.0646,0.4691,0.1193,consented[1]/age
43,27,0.1745,0.0422,0.3615,0.095,consented[1]/age
44,27,0.1393,0.0291,0.3197,0.0806,consented[1]/age
45,25,0.194,0.0837,0.4366,0.0995,consented[1]/age
46,27,0.2386,0.039,0.5469,0.1305,consented[1]/age
47,27,0.2436,0.0632,0.4477,0.1121,consented[1]/age
48,26,0.1534,0.0435,0.2518,0.0536,consented[1]/age
49,27,0.1805,0.0199,0.6078,0.1583,consented[1]/age
50,27,0.3432,0.05,1.7509,0.4425,consented[1]/age
51,26,3.3936,0.9174,6.1983,1.9178,consented[1]/age
52,27,2.3942,0.9706,6.3969,1.0626,consented[1]/age
53,27,0.9933,0.4111,1.8364,0.4752,consented[1]/age
54,25,0.6015,0.1929,1.5585,0.4405,consented[1]/confirmnote
55,27,0.4357,0.2255,1.2668,0.2632,consented[1]/confirmnote
56,26,0.7794,0.1307,3.6934,0.8119,consented[1]/confirmnote
57,26,5.8128,2.7204,11.8669,2.8574,consented[1]/confirmnote
58,27,2.5228,1.21,4.2221,1.0084,consented[1]/confirmnote
59,27,2.7736,0.4311,19.0563,4.7468,consented[1]/confirmnote
60,26,1.4515,0.2094,3.6973,1.0287,consented[1]/confirmnote
61,27,1.2053,0.1868,6.0109,1.3248,consented[1]/confirmnote
62,27,2.3328,0.2576,19.5413,4.9893,consented[1]/confirmnote
63,26,1.7821,0.2348,6.819,1.8494,consented[1]/confirmnote
64,27,1.112,0.3351,2.8754,0.7795,consented[1]/confirmnote
65,27,1.1648,0.3616,4.1547,0.9529,consented[1]/confirmnote
66,26,1.0531,0.4323,3.1973,0.6931,consented[1]/confirmnote
67,27,1.9958,0.3456,8.1994,1.5599,consented[1]/confirmnote
68,27,0.6398,0.14,2.367,0.4827,
