second,count,mean,min,max,sd,fieldname
1,6,8.6667,8,9,0.5164,
2,16,20.9375,9,35,8.7899,
3,14,28.7857,26,35,3.5557,
4,15,30.6,26,34,3.4184,intronote
5,14,27.5,24,33,3.2046,intronote
6,15,29.5333,21,44,8.2624,intronote
7,13,17.8462,13,21,2.7942,intronote
8,14,17.1429,15,19,1.6104,intronote
9,15,17.2,15,20,1.5213,intronote
10,14,16.2857,13,19,2.0164,intronote
11,13,13.0769,12,14,0.9541,intronote
12,15,17.8,14,21,2.2741,intronote
13,14,16.7143,16,18,0.6112,intronote
14,13,16.6154,16,17,0.5064,intronote
15,15,18.8667,17,20,0.9155,intronote
16,13,18.6923,16,21,1.7022,intronote
17,14,14.7143,14,16,0.7263,intronote
18,14,17,15,18,0.9608,intronote
19,15,14,12,16,1.6036,intronote
20,15,15.2,13,17,1.2649,intronote
21,12,16.4167,15,17,0.6686,intronote
22,11,18,18,18,0,intronote
23,10,18,18,18,0,intronote
24,12,20.5833,20,22,0.6686,intronote
25,14,18,13,22,3.1379,consent
26,15,16.4,11,23,4.4529,consent
27,15,24.1333,23,25,0.8338,consent
28,15,17.6667,14,20,2.2887,consented[1]/name
29,15,20.2667,18,22,1.4864,consented[1]/name
30,15,20.9333,20,22,0.8837,consented[1]/name
31,15,21,18,24,2.1712,consented[1]/name
32,13,19,17,20,1,consented[1]/name
33,16,17.75,13,21,2.6204,consented[1]/name
34,14,17.7143,10,21,4.2141,consented[1]/age
35,13,12.3846,8,20,3.6409,consented[1]/age
36,13,18.8462,16,20,1.6756,consented[1]/age
37,15,14.5333,9,21,5.249,consented[1]/age
38,15,15.8,10,21,4.2628,consented[1]/age
39,13,18.3077,17,20,1.1094,consented[1]/age
40,13,17.6154,16,19,1.1929,consented[1]/age
41,13,14.1538,11,17,2.4099,consented[1]/age
42,13,10.3846,10,11,0.5064,consented[1]/confirmnote
43,15,15.5333,10,19,2.722,
