second,count,mean,min,max,sd,fieldname
1,21,41.667,-0.9861,48.8207,12.4667,
2,25,48.3711,43.2274,52.7571,2.7838,
3,25,43.2249,34.9922,75.2605,8.6554,
4,25,40.1571,36.3328,46.4138,2.6875,
5,25,42.3008,36.362,47.735,2.9306,
6,25,38.6853,32.1977,50.5147,3.8205,
7,25,41.0533,37.2558,51.5106,2.6773,intronote
8,25,40.1656,36.8512,44.1837,1.9908,intronote
9,25,41.631,36.7812,47.4805,2.8099,intronote
10,25,43.2222,40.0363,48.2192,2.0396,intronote
11,25,42.909,36.9501,60.8706,6.0956,intronote
12,25,39.5533,34.9451,46.1969,2.5812,intronote
13,25,41.3892,32.8488,46.1043,3.7878,intronote
14,25,40.6003,36.5991,45.4825,2.0344,intronote
15,25,39.2941,35.3888,44.897,2.7001,intronote
16,25,40.0178,35.6588,43.8741,2.4486,intronote
17,25,39.322,34.6422,43.2908,2.1481,intronote
18,25,39.3631,35.1538,44.3074,2.6177,intronote
19,25,43.1068,35.3763,52.9519,5.3424,intronote
20,25,46.1786,39.3193,60.1197,4.1662,intronote
21,25,50.2825,42.2646,62.8278,6.3991,intronote
22,25,53.7841,43.526,59.9841,4.9068,consent
23,25,48.5969,40.8512,59.2414,5.1147,consent
24,25,41.6229,38.5072,47.4497,2.6158,consented[1]/name
25,25,41.8405,34.825,46.8012,3.2317,consented[1]/name
26,25,44.1155,38.4179,50.654,3.5348,consented[1]/name
27,25,41.5085,37.2666,45.2308,2.2371,consented[1]/name
28,25,41.8877,37.2172,46.7084,2.8129,consented[1]/name
29,25,39.6938,36.3197,46.0795,2.4123,consented[1]/name
30,25,39.8545,35.7968,44.8408,2.8067,consented[1]/name
31,25,38.092,32.6149,45.6831,4.1354,consented[1]/name
32,25,36.6051,31.5845,41.5526,2.4348,consented[1]/age
33,25,36.0694,32.5828,38.8187,1.985,consented[1]/age
34,25,39.8452,32.7699,54.2038,4.9349,consented[1]/age
35,25,34.4566,31.479,38.7563,1.8909,consented[1]/age
36,25,32.7732,28.6848,38.3422,3.0062,consented[1]/age
37,25,41.0933,29.9082,75.6913,9.893,consented[1]/age
38,25,32.7433,26.333,44.1942,4.2574,consented[1]/age
39,25,30.1525,24.4644,44.0191,4.0506,consented[1]/age
40,25,30.3165,25.5837,35.9598,2.6219,consented[1]/age
41,25,29.6101,24.3874,35.9,2.8879,consented[1]/age
42,25,29.8066,25.3046,36.6079,3.2983,consented[1]/age
43,25,31.6397,26.5316,37.1088,2.9583,consented[1]/age
44,25,33.1296,26.7519,40.8164,3.4187,consented[1]/age
45,25,36.9657,32.9925,42.5777,2.5344,consented[1]/age
46,25,32.8882,28.5817,36.9525,2.248,consented[1]/age
47,25,32.7382,29.1212,36.8069,2.1337,consented[1]/age
48,25,36.3295,29.0282,41.1646,3.1326,consented[1]/age
49,25,40.2528,34.0051,46.2818,3.7521,consented[1]/age
50,25,44.6235,38.1298,49.1009,3.4095,consented[1]/age
51,25,43.2383,36.4224,52.5065,4.2895,consented[1]/age
52,25,43.5159,37.5388,49.7224,3.2597,consented[1]/age
53,25,38.0156,31.3469,51.5155,6.108,consented[1]/age
54,25,43.5394,34.8738,53.5918,4.6786,consented[1]/confirmnote
55,25,45.3913,36.3226,51.3092,4.8476,consented[1]/confirmnote
56,25,48.1036,41.1937,52.9856,3.1483,consented[1]/confirmnote
57,25,41.2347,32.5778,49.7323,4.5512,consented[1]/confirmnote
58,25,46.3418,32.7423,67.2806,10.5587,consented[1]/confirmnote
59,25,41.6103,32.9993,52.2031,5.7145,consented[1]/confirmnote
60,25,43.8961,32.9027,69.0865,8.241,consented[1]/confirmnote
61,25,49.037,42.296,72.0443,6.0223,consented[1]/confirmnote
62,25,44.9077,32.8666,73.82,10.916,consented[1]/confirmnote
63,25,39.7628,30.3339,48.6496,5.4219,consented[1]/confirmnote
64,25,47.9682,41.9244,68.6398,5.5898,consented[1]/confirmnote
65,25,49.7135,40.2612,69.5532,8.263,consented[1]/confirmnote
66,25,50.2014,44.6435,68.2619,5.1272,consented[1]/confirmnote
67,25,46.4349,40.9321,52.0297,2.6773,
68,25,44.8165,39.9466,52.1459,3.2815,
