second,count,mean,min,max,sd,fieldname
1,23,166.1814,0,234.0276,65.4152,
2,25,71.4269,41.6937,129.1671,25.5584,
3,25,75.202,43.1552,106.7693,18.9988,
4,25,78.5026,43.9332,179.786,41.5336,
5,25,83.7356,43.8039,152.15,26.6098,
6,25,69.9724,47.9856,89.4353,12.5139,
7,25,118.3017,62.7873,171.5046,31.927,intronote
8,25,89.913,49.6972,136.6425,29.7177,intronote
9,25,108.5855,54.4369,154.2757,25.107,intronote
10,25,105.9427,55.2594,146.643,25.5817,intronote
11,25,78.6233,48.3794,143.964,23.877,intronote
12,25,61.7735,44.2252,86.2146,12.8906,intronote
13,25,94.1976,42.7034,143.0949,29.9574,intronote
14,25,75.2562,43.3573,140.8445,30.0534,intronote
15,25,57.6319,37.7424,81.4597,13.2912,intronote
16,25,76.4532,45.8294,135.4108,29.7788,intronote
17,25,54.8357,42.0787,67.2334,7.3854,intronote
18,25,73.1812,46.0196,113.6577,21.323,intronote
19,25,126.1919,54.2292,276.129,77.3292,intronote
20,25,139.6889,57.5087,194.8657,33.5653,intronote
21,25,110.6297,57.1871,183.3636,36.007,intronote
22,25,85.2936,59.3165,124.0373,18.3366,consent
23,25,97.8623,64.0859,183.5761,35.6934,consent
24,25,83.6787,52.2968,129.0539,21.3542,consented[1]/name
25,25,87.2914,44.6457,137.036,21.4663,consented[1]/name
26,25,74.7751,43.2834,126.4298,27.667,consented[1]/name
27,25,214.0177,43.7981,828.6237,308.5443,consented[1]/name
28,25,112.1618,52.231,188.2068,39.0159,consented[1]/name
29,25,98.5395,44.6092,178.4267,31.2488,consented[1]/name
30,25,102.4252,39.7457,167.7191,39.6431,consented[1]/name
31,25,69.3161,41.9822,100.684,18.681,consented[1]/name
32,25,79.6576,42.3109,130.5924,30.6848,consented[1]/age
33,25,65.608,45.4067,118.0887,25.3515,consented[1]/age
34,25,154.8289,37.9322,546.2879,196.3576,consented[1]/age
35,25,60.3192,38.0249,89.7905,18.2402,consented[1]/age
36,25,57.8937,48.5967,83.4885,12.1432,consented[1]/age
37,25,114.9568,47.0292,227.8028,51.5169,consented[1]/age
38,25,74.992,54.7736,128.7796,21.6245,consented[1]/age
39,25,108.4607,58.3574,196.9988,39.708,consented[1]/age
40,25,97.901,51.0076,175.726,35.8879,consented[1]/age
41,25,140.5859,61.5997,273.8749,59.3301,consented[1]/age
42,25,69.0139,44.4404,116.7828,25.0891,consented[1]/age
43,25,60.9123,46.6195,86.2106,13.898,consented[1]/age
44,25,72.6777,46.1653,169.2791,33.5937,consented[1]/age
45,25,111.5524,45.1393,164.6907,37.8158,consented[1]/age
46,25,85.4564,41.8271,151.1609,31.2281,consented[1]/age
47,25,73.8623,45.9051,118.5982,21.1481,consented[1]/age
48,25,93.0247,46.2067,182.334,46.9665,consented[1]/age
49,25,69.4579,46.6378,101.0542,14.0419,consented[1]/age
50,25,69.4901,45.6204,84.3977,10.3092,consented[1]/age
51,25,106.9618,59.5483,141.0591,24.1775,consented[1]/age
52,25,156.7826,48.9686,432.0357,126.2368,consented[1]/age
53,25,170.3224,57.7251,398.9131,100.7833,consented[1]/age
54,25,101.1334,44.4858,216.5687,37.7793,consented[1]/confirmnote
55,25,90.5567,45.4084,208.9527,42.9116,consented[1]/confirmnote
56,25,199.9389,47.0375,665.1875,222.4345,consented[1]/confirmnote
57,25,115.318,59.0121,180.2724,37.6154,consented[1]/confirmnote
58,25,167.3904,85.2686,293.6144,72.3761,consented[1]/confirmnote
59,25,77.7689,47.5163,118.1742,18.6719,consented[1]/confirmnote
60,25,117.0968,52.2929,270.1591,60.1371,consented[1]/confirmnote
61,25,82.9687,46.4188,176.8588,33.8258,consented[1]/confirmnote
62,25,110.3562,50.8211,169.7656,35.8042,consented[1]/confirmnote
63,25,92.1117,61.3806,122.4465,17.217,consented[1]/confirmnote
64,25,72.5753,46.1901,109.3605,17.1598,consented[1]/confirmnote
65,25,121.9378,47.5464,189.3119,42.3142,consented[1]/confirmnote
66,25,65.7588,38.3598,96.3715,17.3482,consented[1]/confirmnote
67,25,109.5713,69.1643,170.1708,26.9597,
68,25,104.5145,42.0679,190.9993,41.8951,
