second,count,mean,min,max,sd,fieldname
1,17,0.0524,0.0291,0.0721,0.0143,intronote
2,25,0.3586,0.0126,1.4651,0.4282,intronote
3,26,0.0285,0.0132,0.0509,0.0103,consent
4,27,0.0316,0.0109,0.1132,0.0251,consent
5,26,0.0215,0.0054,0.0481,0.0111,consent
6,27,0.0248,0.0101,0.0467,0.0091,consent
7,27,0.046,0.014,0.0914,0.0226,consent
8,26,0.0313,0.0138,0.0545,0.0113,consent
9,27,0.026,0.0085,0.0461,0.0113,consent
10,24,0.026,0.015,0.0415,0.0073,consent
11,27,0.0215,0.004,0.0349,0.0087,consent
12,27,0.0258,0.0038,0.048,0.012,consent
13,26,0.0266,0.0113,0.048,0.0105,consent
14,27,0.0553,0.0194,0.1157,0.0235,consent
15,27,0.0517,0.0213,0.137,0.03,consent
16,26,0.0456,0.0144,0.0745,0.0205,consent
17,27,0.0206,0.0034,0.0488,0.01,consent
18,27,0.0548,0.0164,0.1081,0.0265,consent
19,26,0.0485,0.0174,0.086,0.0193,consent
20,27,0.0344,0.0046,0.0929,0.0167,consent
21,27,0.0232,0.0123,0.0388,0.0076,consent
22,25,0.0279,0.0089,0.05,0.0103,consent
23,27,0.0317,0.0108,0.0593,0.0139,consent
24,27,0.024,0.0023,0.0424,0.0111,consent
25,26,0.0216,0.0036,0.0484,0.012,consent
26,27,0.0254,0.0131,0.0378,0.0085,consent
27,27,0.0249,0.0057,0.0406,0.0091,consent
28,26,0.0253,0.0055,0.0435,0.0092,consent
29,27,0.0311,0.0089,0.0556,0.0117,consent
30,27,0.0336,0.0181,0.0594,0.0111,consent
31,25,0.0275,0.0114,0.0405,0.0083,consent
32,26,0.0236,0.004,0.042,0.0096,consent
33,26,0.0222,0.0064,0.0402,0.0088,consent
34,27,0.0234,0.0104,0.0342,0.0066,consent
35,27,0.0243,0.0088,0.0408,0.0102,consent
36,26,0.0305,0.0127,0.0458,0.0084,consent
37,27,0.0267,0.0109,0.0451,0.0092,consent
38,27,0.0274,0.0116,0.0455,0.0117,consent
39,26,0.0264,0.0089,0.0386,0.0098,consent
40,26,0.0199,0.0106,0.0414,0.0082,consent
41,27,0.0334,0.0135,0.0584,0.0116,consent
42,25,0.0398,0.0222,0.0689,0.0136,consent
43,27,0.025,0.0037,0.0524,0.0108,consent
44,27,0.0283,0.0135,0.054,0.0102,consent
45,26,0.0384,0.0229,0.0511,0.0088,consent
46,26,0.0281,0.0108,0.0503,0.0089,consent
47,27,0.0486,0.013,0.1225,0.028,
48,26,0.0264,0.0133,0.041,0.0088,
49,26,0.025,0.0018,0.0395,0.0083,
