second,count,mean,min,max,sd,fieldname
1,21,43.334,-1.1954,56.4565,13.1802,
2,25,48.7505,41.016,55.4266,3.8265,
3,25,41.1119,36.2166,47.3263,2.9295,
4,25,42.2366,36.066,51.3643,3.9986,intronote
5,25,41.8313,34.4325,54.0765,4.8236,intronote
6,25,47.8653,32.5653,68.6338,8.3203,intronote
7,25,49.7411,41.4479,78.3287,8.8318,intronote
8,25,48.2034,39.5072,73.9035,8.7194,intronote
9,25,46.5096,36.9595,65.1719,7.4866,intronote
10,25,48.1817,41.4077,69.3212,7.1524,intronote
11,25,48.5,39.2954,70.1805,5.7482,intronote
12,25,48.3769,43.0072,68.9095,5.1333,intronote
13,25,40.3406,33.5776,53.8963,5.3002,intronote
14,25,43.6506,34.5908,49.8229,4.3811,intronote
15,25,47.2757,39.6134,53.1608,3.8957,intronote
16,25,45.3116,37.0944,66.0425,7.1319,intronote
17,25,50.8826,47.7325,54.3837,1.8615,intronote
18,25,46.7413,37.988,65.4992,5.8523,intronote
19,25,46.7657,38.2142,70.575,7.9769,intronote
20,25,45.3521,34.12,70.298,7.7046,intronote
21,25,43.2317,38.6969,48.9061,2.683,intronote
22,25,48.3583,44.2553,52.0989,2.2168,intronote
23,25,45.1367,37.2193,51.7127,4.4254,intronote
24,25,43.15,37.8728,48.9774,2.9211,intronote
25,25,44.4536,39.2995,51.4241,3.2802,consent
26,25,42.8047,34.64,53.7629,4.8795,consent
27,25,47.0311,40.1779,52.5558,3.406,consented[1]/name
28,25,47.596,41.8427,53.5997,3.1686,consented[1]/name
29,25,44.753,39.3102,53.137,4.0366,consented[1]/name
30,25,40.6931,32.3245,51.8903,5.5298,consented[1]/name
31,25,44.6385,35.2695,53.3661,4.4849,consented[1]/name
32,25,46.4516,37.835,54.4069,4.8117,consented[1]/name
33,25,48.2547,40.6462,52.6197,2.9902,consented[1]/name
34,25,42.7722,33.2121,52.5263,5.0833,consented[1]/age
35,25,45.0389,38.2248,53.1565,4.2402,consented[1]/age
36,25,47.6693,39.9268,53.9606,3.9835,consented[1]/age
37,25,46.0945,38.2976,52.7909,4.0281,consented[1]/age
38,25,48.1091,43.0423,53.2523,2.7572,consented[1]/age
39,25,42.0386,35.5882,53.0953,4.5818,consented[1]/age
40,25,44.2431,38.695,51.6968,3.7902,consented[1]/age
41,25,43.807,35.7276,53.8909,4.7688,consented[1]/age
42,25,41.9373,33.7622,51.4681,4.8344,consented[1]/confirmnote
43,25,49.0228,45.0554,53.8316,2.3347,
